"web_scraper_order","web_scraper_start_url","category-link-0","pagination-selector","data-page-selector","name","price","category-","brand","code","availability","description","tag_1","tag_2","tag_3","tag_4","tag_5","image_12","image_13","image_14","image_15","category_id","Automatic Machine",1,"formatted_price",
"1770381008-1","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/jual-tripod-turnstile-murah/jual-paket-palang-parkir-murah","Paket Bridge Tripod Turnstile Single Taping Kartu",,"Wilayah","Turnstile","Turnstile","In Stock","Tripod turnstile adalah alat kontrol akses berbentuk palang tiga (seperti tripod) yang berputar secara mekanis untuk mengatur arus masuk dan keluar orang. Saat dipadukan dengan sistem **akses tap kartu**, pengguna harus menempelkan kartu akses (misalnya RFID) ke mesin pembaca. Jika kartu valid, sistem akan membuka blokir palang, memungkinkan satu orang lewat. Setelah lewat, palang otomatis mengunci kembali, mencegah orang lain masuk tanpa izin.
Fungsi utama:* Mengontrol akses satu per satu.* Dapat dihubungkan ke sistem keamanan* Cocok digunakan di gedung perkantoran, stasiun, gym, atau fasilitas publik.
Paket terdiri dari :1 Bridge Tripod Turnstile Single2 RFID Reader Wiegand1 Akses Kontrol ZKTeco1 RFID USB Registration1 Set Komputer Admin (opsional) include software
**Free kartu RFID 100pcs","paket tripod tunrstile","harga paket rfid tripod turnstile","pasang tripod turnstile akses kartu","paket tripod turnstile murah",,"https://alatparkir.info/image/cache/catalog/Gallery/pasang_tripod_murah_bandung_jual_tripod_orang_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/pasang_tripod_murah_bandung_jual_tripod_orang_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/pasang_tripod_murah_bandung_jual_tripod_orang_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Gallery/pasang_tripod_murah_bandung_jual_tripod_orang_murah-600x691.jpg",10,"Akses Kontrol",2,0,10
"1770381010-2","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/paket-alat-parkir-murah-mx50/jual-paket-palang-parkir-murah","Paket Alat Parkir Murah MX50","Rp.24,390,000","Wilayah","Workshop","Workshop","In Stock","Paket murah alat parkir hanya di alat parkir store alatparkir.infoIsi Paket :2 Barrier Gate MX50Palang 3 meter2 Tiang Kamera1 Box Tiket Dispenser1 Pos parkirPaket ini hanya alat parkir saja belum termasuk software, controller, dan jasa instalasi","alat parkir","paket 1 in 1 out","palang parkir berbayar","portal otomatis berbayar",,"https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-mx50-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-mx50-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-mx50-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-mx50-600x691.webp",10,"GPS Tracker",3,24390000,10
"1770381013-3","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/paket-alat-parkir-murah-bg116/jual-paket-palang-parkir-murah","Paket Alat Parkir Murah BG116","Rp.24,700,000","Wilayah","Workshop","Workshop","In Stock","Paket murah alat parkir hanya di alat parkir store alatparkir.infoIsi Paket :2 Barrier Gate BG116 Palang 3 meter2 Tiang Kamera1 Box Tiket Dispenser1 Pos parkirPaket ini hanya alat parkir saja belum termasuk software, controller, dan jasa instalasi","alat parkir","paket 1 in 1 out","palang parkir berbayar","portal otomatis berbayar",,"https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-murah-alat-parkir-bg116-600x691.webp",10,"Software Parkir",4,24700000,10
"1770381017-4","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/paket-alat-parkir-bandung-murah/jual-paket-palang-parkir-murah","Paket Alat Parkir Berbayar 1 Masuk 1 Keluar Murah","Rp.68,290,000","Wilayah","Workshop","Workshop","In Stock","Paket lengkap parkir otomatis 1 masuk dan 1 keluar berbayar dengan sistem pembayaran tunai untuk rumah sakit, bandara, pasar, area perkantoran, ruko, masjid, rest are kelengkapan dalam Paket yg didapat2 – Barrier Gate Mx-503 – Vehicle Loop Detector AP108 (Sensor Logam)1 – Ticket Dispenser2 – Printer Thermal Epson 1 – Manless Control Unit Non PC Raspberry V41 – Speaker Mini Aktif Usb2 – Tiang Kamera (IP Hikvision 2mp)1 – Barcode Scanner Symbol 2D1 – PC Administrasi 1 – Komputer Server1 – Software Parkir  Full Sistem3 – RFID Reader3 – Switchub Dlink 5 port1 – Kabel Jaringan UTP CAT5 Max 300 meter3 – Kabel Wiring VLD1 – Kabel Power & Terminal","alat parkir","paket 1 in 1 out","palang parkir berbayar","portal otomatis berbayar",,"https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg",10,"Automatic Gate",5,68290000,10
"1770381019-5","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/pasang-parkir-berbayar-murah/jual-paket-palang-parkir-murah","Paket Alat Parkir Berbayar 1 Masuk 1 Keluar Murah","Rp.68,290,000","Wilayah","Workshop","Workshop","In Stock","Paket lengkap parkir otomatis 1 masuk dan 1 keluar berbayar dengan sistem pembayaran tunai untuk rumah sakit, bandara, pasar, area perkantoran, ruko, masjid, rest are kelengkapan dalam Paket yg didapat2 – Barrier Gate Mx-503 – Vehicle Loop Detector AP108 (Sensor Logam)1 – Ticket Dispenser2 – Printer Thermal Epson 1 – Manless Control Unit Non PC Raspberry V41 – Speaker Mini Aktif Usb2 – Tiang Kamera (IP Hikvision 2mp)1 – Barcode Scanner Symbol 2D1 – PC Administrasi 1 – Komputer Server1 – Software Parkir  Full Sistem3 – RFID Reader3 – Switchub Dlink 5 port1 – Kabel Jaringan UTP CAT5 Max 300 meter3 – Kabel Wiring VLD1 – Kabel Power & Terminal","alat parkir","paket 1 in 1 out","palang parkir berbayar","portal otomatis berbayar",,"https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/Paket/alat_parkir_otomatis_murah-600x691.jpg",10,"Periferal",6,68290000,10
"1770381022-6","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/paket-palang-parkir-murah-bg116/jual-paket-palang-parkir-murah","Paket Alat Parkir Berbayar 1 Masuk 1 Keluar BG116","Rp.62,000,000","Wilayah","Workshop","Workshop","In Stock","Paket lengkap palang parkir otomatis 1 masuk dan 1 keluar berbayar dengan sistem pembayaran tunai untuk rumah sakit, bandara, pasar, area perkantoran, ruko, masjid, rest area. kelengkapan dalam Paket yg didapat
Pintu Masuk :1 Barrier Gate BG116 Palang 3 meter2 VLD sensor kendaraan1 Box tiket dispenser1 USB speaker mini greeting1 USB RFID reader1 Manless Control Unit1 Tiang kamera1 IP Kamera capture1 Printer thermal
Pintu Keluar :1 Barrier Gate BG116 Palang 3 meter1 VLD sensor kendaraan1 Pos Kasir1 set komputer kasir1 triger gate interface1 Tiang kamera1 IP Kamera capture1 Barcode scanner1 Printer thermal1 USB RFID reader
Harga paket hanya barang saja belum termasuk instalasi dan ongkos pengiriman barang","alat parkir","paket parkir 1 in 1 out","palang parkir berbayar","portal otomatis berbayar","portal parkir bg116","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/Paket/paket-palang-parkir-murah-bg116-600x691.webp",10,"Paket Alat Parkir",7,62000000,10
"1770381025-7","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/mesin-portal-parkir-mx80/jual-paket-palang-parkir-murah","Mesin Portal Otomatis | Barrier Gate MX80  AC","Rp.7,286,000","Wilayah","MX Series","MX Series","In Stock","Jual Produk Terbaru dan Best Seller Palang Parkir Otomatis LED warna merah ketika pintu tertutup dan warna hijau ketika pintu terbuka dengan tampilan terbaik dan elegan akan menambah kesan mewah di area parkir andaSpecification:
Barrier gate 1.8s new MX-80 series (Favourite tipe)
Dimension (LXDXH) in mm: 390x325x1040mm.
Operating ambient temperature: -20C to +55C.
Housing colour: Grey, Orange, Yellow, Blue, Red, Black.
Feature:
LED when closed is Red colour, LED when open is Green colour.
Open/Close speed 1.8 seconds / 3 seconds.Arm/Boom small octagonal (swing out function)","Harga Barier Gate","Harga Portal Parkir","Harga Palang Parkir","Harga Boom Gate Otomatis","jual portal otomatis",,,,,10,"Paket Turnstile Gate",8,7286000,10
"1770381027-8","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/mesin-palang-parkir-mx50-dc/jual-paket-palang-parkir-murah","Mesin Portal Otomatis | Barrier Gate MX-50 DC","Rp.5,945,000","Wilayah","MX Series","MX Series","In Stock","Running Speed (Seconds: S) : 1~4S - 2~6S / 6S / 6S / 6S / 6SBoom Type ：3-4 meters Straight / 6 meters telescopicMax Boom Length (Meters: M) : 6MCabinet Dimension (W*D*H) : 335*315*967.2MMPower Supply Input Voltage : AC220V±10%Control Board Input Voltage DC24V±10%，10AMotor Voltage : DC24VEnclosure Rating : IP54Working Temperature : -30°C~+70°CMTBF : 6,000,000 timesDuty Cycle : 100%Traffic Flow Application : 24 hours uninterrupted operationMax Motor Power	：180WMax Motor Speed	: 360r/minMax Output Torque : 320N.m","Harga Barier Gate","Harga Portal Parkir","Harga Palang Parkir","Harga Boom Gate Otomatis",,"https://alatparkir.info/image/cache/catalog/barrier/jual_barrier_gate_mx_50_dc-600x691.webp","https://alatparkir.info/image/cache/catalog/barrier/jual_barrier_gate_mx_50_dc-600x691.webp","https://alatparkir.info/image/cache/catalog/barrier/jual_barrier_gate_mx_50_dc-600x691.webp","https://alatparkir.info/image/cache/catalog/barrier/jual_barrier_gate_mx_50_dc-600x691.webp",10,"Peralatan Parkir",9,5945000,10
"1770381030-9","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/mesin-palang-parkir-mx50-ac/jual-paket-palang-parkir-murah","Mesin Portal Otomatis | Barrier Gate MX-50 AC","Rp.6,254,000","Wilayah","MX Series","MX Series","In Stock","Fitur Dasar Barrier Gate MX-50 1.8s:Aman karena Barrier gate akan otomatis kembali ketika mengenai hambatan atau logam benda yang melintasMotor lebih kuat dan tidak ada pemeliharaan.Panjang Palang / Portal dapat dipilih dari 3 meter sampai 6 meter.Waktu penutupan juga diatur dari 1 detik sampai 6 detik.Barrier gate bisa dipasang di dua sisi (kanan/kiri).Tidak bising dan tanpa getaran.Infrared photocell antarmuka, loop antarmuka detektor dan sistem ICIndikator lampu hijau dan merah untuk status buka tutup portal.Sistem pendingin mesin untuk menjaga temperatur agar tetap dalam keadaan normal.Specifications:Motor ACWorking temperature -40°C to +75°CWorking cycle 50%Power supply 220V±10% / 110V±10%Rated power 120WOpening time 1s, 3s, and 6sNet weight 70KGS","Harga Barier Gate","Harga Portal Parkir","Harga Palang Parkir","Harga Boom Gate Otomatis",,"https://alatparkir.info/image/cache/catalog/barrier/jual_portal_parkir_pasang_alat_parkir_mx50-600x691.jpg","https://alatparkir.info/image/cache/catalog/barrier/jual_portal_parkir_pasang_alat_parkir_mx50-600x691.jpg","https://alatparkir.info/image/cache/catalog/barrier/jual_portal_parkir_pasang_alat_parkir_mx50-600x691.jpg","https://alatparkir.info/image/cache/catalog/barrier/jual_portal_parkir_pasang_alat_parkir_mx50-600x691.jpg",10,"Wilayah",10,6254000,10
"1770381032-10","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/mesin-portal-otomatis-bg116/jual-paket-palang-parkir-murah","Mesin Portal Otomatis | Barrier Gate BG116","Rp.5,600,000","Wilayah","MX Series","MX Series","In Stock","Spesifikasi :
Tegangan : AC 220 V
Adaptive motor : 24V Brushless direct current motor
Frekuensi : 60 HZ
Konsumsi daya motor : 60 watt
Suhu kerja : - 20° hingga 55°
Dimensi : 355 x 249 x 1035 mm
Penggerak : transmisi turbin motor tiga fasa tunggal
Jarak Remote Control Maksimum : ≤ 30 meter

Hardware protection : Overcurrent protection, overvoltage protection, short circuit protection
Input signal : Open gate, close gate, stop, ground sense,anti-smashing
Output signal : Open position, close position dry contact

Fitur:
● Fungsi gerak kembali secara otomatis. Sensor bawaan dapat mendeteksi ketika palang mengenai halangan/obyek.
● Sensor yang cerdas dikelasnya. Sensor dapat memeriksa posisi buka & tutup secara otomatis. Tidak perlu menyesuaikannya dengan tangan
● Fungsi memori. Mesin dapat mengingat batas posisi, sehingga akan kembali ke posisi semula untuk menghindari mesin macet
● Suhu mesin lebih rendah. Tidak ada perlindungan khusus meskipun tidak menambahkan kipas untuk mendinginkan mesin.

Isi paket :
1 Pcs Mesin Barrier Gate P1022
1 Pcs Palang 3/4 meter (sudah termasuk karet dan LED untuk palang)
2 Pcs Remote
4 Pcs Dinalbolt
2 Pcs Kunci

Palang LED (Terpisah Option)","Harga Barier Gate","Harga Portal Parkir","Harga Palang Parkir","Harga Boom Gate Otomatis","Harga Palang Otomatis","https://alatparkir.info/image/cache/catalog/barrier/new/palang_otomatis_barrier_gate_bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/barrier/new/palang_otomatis_barrier_gate_bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/barrier/new/palang_otomatis_barrier_gate_bg116-600x691.webp","https://alatparkir.info/image/cache/catalog/barrier/new/palang_otomatis_barrier_gate_bg116-600x691.webp",10,,,5600000,10
"1770381035-11","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/mesin-palang-otomatis-mx80-dc/jual-paket-palang-parkir-murah","Mesin Portal Otomatis MX 80 DC | Palang Parkir MX80 DC | Alat Parkir","Rp.7,000,000","Wilayah","MX Series","MX Series","In Stock","Jual Produk Terbaru dan Best Seller Palang Parkir Otomatis LED warna merah ketika pintu tertutup dan warna hijau ketika pintu terbuka dengan tampilan terbaik dan elegan akan menambah kesan mewah di area parkir andaSpecification:
Barrier gate 1.8s new MX-80 series (Favourite tipe)
Dimension (LXDXH) in mm: 390x325x1040mm.
Operating ambient temperature: -20C to +55C.
Housing colour: Grey, Orange, Yellow, Blue, Red, Black.
Feature:
LED when closed is Red colour, LED when open is Green colour.
Open/Close speed 1.8 seconds / 3 seconds.Arm/Boom small octagonal (swing out function)","Barrier Gate MX80 New DC","Harga Portal Parkir","Harga Palang Parkir","Harga Boom Gate Otomatis","jual portal otomatis","https://alatparkir.info/image/cache/catalog/barrier/barrier_gate_mx-80_led_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/barrier/barrier_gate_mx-80_led_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/barrier/barrier_gate_mx-80_led_murah-600x691.jpg","https://alatparkir.info/image/cache/catalog/barrier/barrier_gate_mx-80_led_murah-600x691.jpg",10,,,7000000,10
"1770381037-12","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/jual-mesin-pintu-antrian-swing-gate/jual-paket-palang-parkir-murah","Mesin Pintu Antrian Swing Gate 1 Channel","Rp.17,200,000","Wilayah","Turnstile","Pedestrian Gate","In Stock","Swing Gate adalah alat security systems yang berfungsi untuk mengontrol keluar masuk orang ataupun barang di area lobby Perkantoran Instansi Pemerintah, Swasya, Mall, Stasiun Kereta Api, Stasiun LRT, Stasiun MRT atau di daerah apapun yang memerlukan pengontrolan orang melewati lokai tertentu.Fungsi:Untuk mengontrol keluar masuk orang ataupun barang.Spesifikasi:1. Size: 1500*120*980mm2. Power input: AC100-240V,50/60HZ3. Material: 1.2mm SUS 304 with 400# hairline4. Arm material: 10mm Acrylic5. Pass Width: 600mm-1100mm6. Passage direction: Single directional/Bi-directional7. Pass rate: 35-40 persons/minute8. Operating time: 0.2 seconds9. Working voltage: 24V10. Working humidity: 30%~95%11. Working temperature: -40~+7012. Working environment: Indoor13. Input interface: RS485 Dry contact14. Mechanism: DC Brushless motor15. Infrared sensor: 6 pairs16. MCBF: 5,000,000 Cycles17. Application: Airports, Hotels, Government Halls, etc*Harga satuan belum termasuk jasa instalasi dan ongkos kirim barang*Mesin ini bisa di integrasikan dengan sistem standalone dan software","turnstile swing gate","swing barrier","turnstile gate","swing barrier double","Pintu Antrian","https://alatparkir.info/image/cache/catalog/turnstile/jual_swing_gate_double_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/jual_swing_gate_double_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/jual_swing_gate_double_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/jual_swing_gate_double_murah-600x691.webp",10,,,17200000,10
"1770381040-13","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/mesin-pintu-antrian-stasiun/jual-paket-palang-parkir-murah","Mesin Pintu Antrian Swing Gate 1 Channel","Rp.17,200,000","Wilayah","Turnstile","Pedestrian Gate","In Stock","Swing Gate adalah alat security systems yang berfungsi untuk mengontrol keluar masuk orang ataupun barang di area lobby Perkantoran Instansi Pemerintah, Swasya, Mall, Stasiun Kereta Api, Stasiun LRT, Stasiun MRT atau di daerah apapun yang memerlukan pengontrolan orang melewati lokai tertentu.Fungsi:Untuk mengontrol keluar masuk orang ataupun barang.Spesifikasi:1. Size: 1500*120*980mm2. Power input: AC100-240V,50/60HZ3. Material: 1.2mm SUS 304 with 400# hairline4. Arm material: 10mm Acrylic5. Pass Width: 600mm-1100mm6. Passage direction: Single directional/Bi-directional7. Pass rate: 35-40 persons/minute8. Operating time: 0.2 seconds9. Working voltage: 24V10. Working humidity: 30%~95%11. Working temperature: -40~+7012. Working environment: Indoor13. Input interface: RS485 Dry contact14. Mechanism: DC Brushless motor15. Infrared sensor: 6 pairs16. MCBF: 5,000,000 Cycles17. Application: Airports, Hotels, Government Halls, etc*Harga satuan belum termasuk jasa instalasi dan ongkos kirim barang*Mesin ini bisa di integrasikan dengan sistem standalone dan software","turnstile swing gate","swing barrier","turnstile gate","swing barrier double","Pintu Antrian","https://alatparkir.info/image/cache/catalog/turnstile/jual_swing_gate_double_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/jual_swing_gate_double_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/jual_swing_gate_double_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/jual_swing_gate_double_murah-600x691.webp",10,,,17200000,10
"1770381042-14","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/jual-mesin-pintu-antrian-flap-barrier/jual-paket-palang-parkir-murah","Mesin Pintu Antrian Flap Barrier","Rp.15,812,000","Wilayah","Turnstile","Turnstile","In Stock","Description			Flap barrier gate Flap barrier gate is an innovative pedestrain control technology that designed to achive best balance of quality,performance and affordability. Flap barrier gate provide a combination of reliable mechanical as well as eletronic retriction for unauthorized visitor while still maintain a welcoming atmosphere.Access control and time attendance reader can be integrated into flap barrier gate. Flap barrier gate is ideal indoor solution for railway platform,passenger terminal,ferry,airports,checkpoints,factory,stadium,lift lobby of commercial,industial or government building.Flap barrier gate give a more premium and organized entrance of your building.			Type : Flap barrier gate	Model NO. : AS	Material	: Stainless steel	Gross weight : 70-85kg	Size	: 1400*280*980mm	Power supply : 220V/110V	Service life : 3000000 cycles","turnstile gate","turnstile flap barrier","flap barrier",,,"https://alatparkir.info/image/cache/catalog/turnstile/jual_flap_barrier_turnstile_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/jual_flap_barrier_turnstile_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/jual_flap_barrier_turnstile_murah-600x691.webp","https://alatparkir.info/image/cache/catalog/turnstile/jual_flap_barrier_turnstile_murah-600x691.webp",10,,,15812000,10
"1770381045-15","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-paket-palang-parkir-murah",,"https://alatparkir.info/jual-palang-parkir-murah-bldc/jual-paket-palang-parkir-murah","Mesin Palang Otomatis Murah BLDC New Alat Parkir","Rp.5,200,000","Wilayah","MX Series","MX Series","In Stock","SpesifikasiMaterial : aluminiumSize of Housing : 405 * 292 * 1019 mmArm Length : 1 ~ 6 metersOEM/ ODM : AvailableMotor : High performance motorSurface Treatment : Ultraviolet-proof surface treatmentBoom Barrier Colour : Various kinds of color choiceBoom Barrier Remote control distance : 30 metersRail Lifting Time : 1- 6 seconds
**Harga belum termasuk jasa pasang dan ongkos kirim barang","Harga Barier Gate","Harga Portal Parkir","Harga Palang Parkir","Harga Boom Gate Otomatis","Harga Palang Otomatis","https://alatparkir.info/image/cache/catalog/barrier/new/palang_parkir_barrier_gate_bldc_new-600x691.webp","https://alatparkir.info/image/cache/catalog/barrier/new/palang_parkir_barrier_gate_bldc_new-600x691.webp","https://alatparkir.info/image/cache/catalog/barrier/new/palang_parkir_barrier_gate_bldc_new-600x691.webp","https://alatparkir.info/image/cache/catalog/barrier/new/palang_parkir_barrier_gate_bldc_new-600x691.webp",10,,,5200000,10
"1770381050-16","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-alat-parkir-murah",,"https://alatparkir.info/jual-rambu-parkir/jual-alat-parkir-murah","Rambu Alat Parkir","Rp.650,000","Peralatan Parkir","Workshop","Workshop","In Stock","Tersedia rambu-rambu alat parkirRambu portable ukuran 60cm x 40cm x 120cmRambu portable ukuran 40cm x 120cm x 120cmRambu permanent ukuran 60cm x 40cm x 120cmRambu tarif parkir ukuran 60cm x 120cm
Bisa custom dan harga variatif, silahkan chat admin untuk konsultasi","rambu parkir","rambu tarif parkir","rambu alat parkir",,,"https://alatparkir.info/image/cache/catalog/rambu/jual_rambu_parkir_alat_parkir_murah_bandung-600x691.jpg","https://alatparkir.info/image/cache/catalog/rambu/jual_rambu_parkir_alat_parkir_murah_bandung-600x691.jpg","https://alatparkir.info/image/cache/catalog/rambu/jual_rambu_parkir_alat_parkir_murah_bandung-600x691.jpg","https://alatparkir.info/image/cache/catalog/rambu/jual_rambu_parkir_alat_parkir_murah_bandung-600x691.jpg",9,,,650000,9
"1770381052-17","https://alatparkir.info/distributor-impotir-mesin-otomatis","https://alatparkir.info/jual-alat-parkir-murah",,"https://alatparkir.info/jual-pos-tandem-dobel/jual-alat-parkir-murah","Pos Parkir Tandem Pos Dobel","Rp.12,100,000","Peralatan Parkir","Workshop","Workshop","In Stock","Pos kasir parkir atau pos sekuriti ukuran besar bisa masuk dua orangSpesifikasi :	– Rangka tiang dan bawah menggunakan Besi Hollow 3×3 t=2.0cm	– Rangka Tengah dan Atas menggunakan Besi Hollow 3×3 t=1.3cm	– Dinding Luar Plat Esser 1.2mm	– Dinding Dalam melamin 3mm	– Plafon Melamin 3mm	– Lantai Plat Bordes 1,5mm	– Frame kaca alumunium, kaca riben 5mm	– Kelistrikan (Fitting, Lampu, Saklar, Stop kontak 4L, MCB 6A)	– Meja computer + Laci	– Finishing Cat Duco Nippe + Clear	– Ukuran Pos : 200x90x210 (PxLxT)	– Warna sesuai permintaan","pos parkir","pos satpam","pos security","pos kasir","pos pembayaran parkir",,,,,9,,,12100000,9
